Title,Price,Rating
"Learn Kubernetes & Docker - .NET Core, Java, Node.JS, PHP or Python: Be ready to create and run your containerized and orchestrated application next week. (Learn Collection)",9.99,8
Python Programming Language,7.95,"1,504"
Fair Wind To Java,3.99,76
"JAVA PROGRAMMING FOR BEGINNERS: TOP PRIMARY PROGRAMMING LANGUAGE FOR DEVELOPERS AT TOP COMPANIES. A PRACTICAL GUIDE YOU CAN’T MISS TO LEARN JAVA IN 7 DAYS OR LESS, WITH HANDS-ON PROJECTS.",15.99,22
OCP Oracle Certified Professional Java SE 17 Developer Certification Kit: Exam 1Z0-829,74.91,5
"JavaScript from Beginner to Professional: Learn JavaScript quickly by building fun, interactive, and dynamic web apps, games, and pages",36.99,151
Selenium with Java – A Beginner’s Guide: Web Browser Automation for Testing using Selenium with Java (English Edition),29.95,9
Coding for Kids: Python: Learn to Code with 50 Awesome Games and Activities,12.73,"1,512"
Test Driven: TDD and Acceptance TDD for Java Developers,37.49,41
Starting Out with Java: From Control Structures through Objects (6th Edition),17.81,154
Practical Discrete Mathematics: Discover math principles that fuel algorithms for computer science and machine learning with Python,62.99,4.3
Become an Awesome Software Architect: Book 1: Foundation 2019,49.99,4.2
End-to-End Web Testing with Cypress: Explore techniques for automated frontend web testing with Cypress and JavaScript,46.99,3.7
"Learn Java 17 Programming: Learn the fundamentals of Java Programming with this updated guide with the latest features, 2nd Edition",39.99,5.0
"JavaScript from Beginner to Professional: Learn JavaScript quickly by building fun, interactive, and dynamic web apps, games, and pages",36.99,4.8
Selenium with Java – A Beginner’s Guide: Web Browser Automation for Testing using Selenium with Java (English Edition),29.95,3.7
Coding for Kids: Python: Learn to Code with 50 Awesome Games and Activities,12.73,4.6
Test Driven: TDD and Acceptance TDD for Java Developers,37.49,4.3
Starting Out with Java: From Control Structures through Objects (6th Edition),17.81,4.4
JavaScript Coding for Teens: A Beginner's Guide to Developing Websites and Games,17.49,4.7
Data Structures and Problem Solving Using Java,41.10,3.8
JavaScript For Kids For Dummies (For Dummies (Computers)),22.49,4.5
Big Java: Early Objects,83.01,4.4
Java Design Patterns: A Hands-On Experience with Real-World Examples,40.58,5.0
Hands-On Selenium WebDriver with Java: A Deep Dive into the Development of End-to-End Tests,49.62,5.0
Grokking Functional Programming,59.99,4.3
Hands-on JavaScript for Python Developers: Leverage your Python knowledge to quickly learn JavaScript and advance your web development career,29.99,4.5
Java: Programming Basics for Absolute Beginners (Step-By-Step Java),16.38,4.2
JavaScript: The Comprehensive Guide to Learning Professional JavaScript Programming,57.45,5.0
World War 2 - The Call of Duty: A Complete Timeline,0.99,3.9
Spiritual Java,16.99,4.7
Kotlin in Action,32.49,4.6
Learn Java for FTC,9.99,4.6
"Domain-Driven Design with Java - A Practitioner's Guide: Create simple, elegant, and valuable software solutions for complex business problems",44.99,4.0
Learn Functional Programming Without Fear: A former Java/OOP teacher takes you to the cusp of using Scala’s FP libraries,9.99,5.0
